,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,avg,upper,lower,side,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,rsi,srsi,sma
16042,2019-05-29 05:20:00,164380,8574.01,8574.01,8539.29,8542.9,846.652675,331.72221099999996,5,7236566.75583795,8645.704661857346,8745.77679089272,8545.632532821972,1.0,-0.0034470892218678717,-0.0005334918209619621,-0.00582917005605732,-0.013294063294063352,-0.010644125348444278,-0.0034530441225744113,0.004025690760301601,-0.12590594918090037,-0.11213256921595137,-0.23873556271768215,0.03845212860480241,0.13583372201154037,0.002919409944217577,-0.0053125918030279,-0.007536994427306709,0.002682041137459734,-0.002412889650333483,8600.611428571518,8651.489999999982,16.0,41.1585225373814,-1.0
16043,2019-05-29 05:35:00,164383,8542.83,8542.83,8483.2,8483.2,1111.168316,0.0,3,9447593.36410465,8630.931510779405,8750.347128559668,8511.515892999141,1.0,-0.006988259256224372,-0.010411259324930477,-0.007518022898030385,-0.01277669356068134,-0.02018942018942016,-0.0070127914985285145,0.0041273257156322915,-0.09557018829723016,-0.13433453489532318,-0.19603641589224927,0.09198846053668745,0.10284722713548196,-0.0034530441225744113,0.002919409944217577,-0.0053125918030279,-0.007536994427306709,0.002682041137459734,8575.972857142946,8634.340666666649,11.0,40.07138568532213,-1.0
16044,2019-05-29 05:45:00,164385,8465.89,8470.0,8465.89,8470.0,1018.329659,454.272277,2,8622933.93588998,8616.301373435823,8750.541586027593,8482.061160844052,1.0,-0.001556016597510479,-0.008533402006344448,-0.011951075830130331,-0.009062341327131018,-0.014312829410950023,-0.0015572284486058408,0.004116748403621116,-0.0890462747327503,-0.1197545689194227,-0.18838622232491284,0.11345262460379958,0.11069693247730662,-0.0070127914985285145,-0.0034530441225744113,0.002919409944217577,-0.0053125918030279,-0.007536994427306709,8552.428571428662,8621.324666666647,10.0,38.69379191030546,-1.0
16045,2019-05-29 06:00:00,164388,8480.64,8497.62,8454.28,8497.62,1032.4676359999999,819.8468440000001,3,8754650.538348101,8605.512157668929,8743.831834128445,8467.192481209413,1.0,0.0032609208972846915,0.0016998302527349018,-0.005300307857987185,-0.008729126445765178,-0.005830972008058377,0.0032556156249885504,0.004148969527050997,-0.08825997700693662,-0.14182387870264973,-0.19563246007245383,0.13101462778055473,0.07825636545103366,-0.0015572284486058408,-0.0070127914985285145,-0.0034530441225744113,0.002919409944217577,-0.0053125918030279,8529.517142857232,8608.45866666665,23.0,37.80637025794778,-1.0
16046,2019-05-29 06:20:00,164392,8503.41,8533.29,8503.41,8533.29,853.2641319999999,665.7886110000001,4,7265837.428480959,8598.946506971755,8734.635308830213,8463.257705113298,1.0,0.00419764592909555,0.007472255017709761,0.005904611467370868,-0.0011249107445947537,-0.004568122298759358,0.004188860390561544,0.004167769891872027,-0.08431324240383399,-0.17234383023438749,-0.2339519297293023,0.12277192844802691,0.11978075598560331,0.0032556156249885504,-0.0015572284486058408,-0.0070127914985285145,-0.0034530441225744113,0.002919409944217577,8520.98857142866,8599.344666666648,37.0,36.861807405786244,-1.0
16076,2019-05-30 02:35:00,164635,8584.69,8598.71,8557.95,8567.76,1020.3241300000001,356.404548,6,8749586.85219401,8640.941906323602,8716.049349579123,8565.83446306808,1.0,-0.005162431986177718,-0.005581573495360259,-0.01499960336758166,-0.010047696517044957,-0.0062551541519122456,-0.005175803377301946,0.004545429044775967,-0.2944062501758418,0.16891484606552595,-0.08858415145197494,0.1231997043046806,-0.02759968988447221,-0.00042140530584333646,-0.009516026454479132,0.005014719823465796,0.0038237157191503,-0.0009819237566457417,8628.661428571522,8649.451999999983,34.0,46.8568540353624,-1.0
16077,2019-05-30 03:10:00,164642,8578.66,8615.54,8576.21,8615.54,842.7022619999999,632.6755290000001,7,7242153.21966623,8638.632642112365,8711.119077236752,8566.146206987978,1.0,0.005576720169566007,0.00038549874480686697,-3.5980199283858205e-05,-0.00950653178865113,-0.004527009539303184,0.005561227836558658,0.004598891682138612,-0.3090062663371284,0.14347013011298482,-0.12864066487660808,0.14473679134020673,0.02347714891471192,-0.005175803377301946,-0.00042140530584333646,-0.009516026454479132,0.005014719823465796,0.0038237157191503,8626.57285714295,8646.22066666665,40.0,46.480537940000985,-1.0
16082,2019-05-30 05:30:00,164670,8738.59,8738.59,8700.0,8727.86,873.3642460000002,392.67621099999997,5,7620026.0804591,8658.24399706451,8735.646589860617,8580.841404268403,-1.0,-0.0005141800317211009,0.007262609161297284,0.0075963454420773235,0.009992466594380023,0.013036907727199898,-0.0005143122676045664,0.004484112550027214,-0.20604636099215948,0.10894759598907217,-0.03944636012864611,0.13245298353189205,-0.006791626801614383,0.007750675681446495,0.00033127508312169596,0.002375233510941044,0.003009786679042392,0.005561227836558658,8658.858571428664,8649.59466666665,70.0,47.228710739097906,1.0
16083,2019-05-30 06:05:00,164677,8723.29,8723.29,8694.08,8710.74,910.643119,346.261257,7,7930158.74082053,8663.016360967737,8740.376431512675,8585.656290422798,-1.0,-0.001961534671729437,-0.0024747061214908106,0.005286828629890827,0.005619910275384887,0.008011331352969497,-0.001963461000315192,0.004466114556399761,-0.20432340534691,0.08655490787750457,-0.0549474912183089,0.11800655261494336,-0.00560045604064691,-0.0005143122676045664,0.007750675681446495,0.00033127508312169596,0.002375233510941044,0.003009786679042392,8679.284285714379,8654.707999999982,68.0,47.61341428919351,1.0
16091,2019-05-30 11:25:00,164741,8723.52,8755.0,8722.73,8752.73,913.7868049999997,484.52363499999996,9,7985111.46380764,8692.776499561514,8767.100702626876,8618.452296496152,-1.0,0.0024256861611053893,0.00019769169237804363,0.00589789470901847,0.007537483093038588,0.008373223656545692,0.002422748933332386,0.004308844949331434,-0.24799259363859882,0.1311823478476047,-0.22096690348036993,0.052971125200440033,-0.06299060745235276,-0.002225076779382107,0.005682898059395924,0.0016286479958704803,0.0008291444740962106,-0.003679835800141973,8716.577142857237,8698.068666666648,71.0,52.78864581225653,1.0
