timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-06-16,14.98000000,15.96000000,14.82000000,15.76020000,2452263.98000000,1529193599999,38045736.41273900,55758,1316984.82000000,20449963.50999400,0
2018-06-17,15.78830000,17.20000000,15.69510000,16.59870000,3238566.80000000,1529279999999,53502585.07872900,73008,1569429.70000000,25940000.32479700,0
2018-06-18,16.61050000,17.19980000,16.11000000,16.81110000,2847219.22000000,1529366399999,47861779.31491800,72205,1460402.76000000,24584812.97325700,0
2018-06-19,16.80920000,16.95000000,16.12880000,16.75560000,2118005.58000000,1529452799999,34963195.21442100,58216,986964.30000000,16303499.85588500,0
2018-06-20,16.73950000,16.85000000,15.60000000,16.07730000,1951387.85000000,1529539199999,31306144.77594800,56778,986422.58000000,15814801.65637100,0
2018-06-21,16.07680000,17.38000000,15.86500000,17.07270000,3562967.67000000,1529625599999,59369253.23324700,83187,2027579.05000000,33831895.22672200,0
2018-06-22,17.07260000,17.25000000,15.16000000,15.56000000,3363308.98000000,1529711999999,54171930.63134300,96439,1670337.71000000,26934112.98978300,0
2018-06-23,15.55000000,16.04880000,15.31230000,15.63980000,2104033.70000000,1529798399999,33027599.35146500,51321,1202951.35000000,18894107.19599700,0
2018-06-24,15.60240000,15.74900000,13.34190000,14.41740000,3864116.26000000,1529884799999,55238298.52229600,96106,1967627.29000000,28124612.47181200,0
2018-06-25,14.41740000,15.15320000,13.76000000,14.92000000,2268298.40000000,1529971199999,33067739.39525800,60674,1149943.18000000,16739892.25684600,0
2018-06-26,14.89820000,15.00980000,13.83000000,14.05250000,1400093.84000000,1530057599999,20048435.45446100,36494,712553.87000000,10210155.16162100,0
2018-06-27,14.05250000,14.34040000,13.78900000,14.07370000,1526745.80000000,1530143999999,21486064.57909000,31069,818225.21000000,11517676.64459600,0
2018-06-28,14.08520000,14.90000000,13.81000000,14.20600000,2386068.98000000,1530230399999,34330807.12339300,57210,1217841.71000000,17557934.21290300,0
2018-06-29,14.13120000,14.70000000,13.73400000,14.53990000,1801223.29000000,1530316799999,25496746.95565500,45020,897384.98000000,12731233.08961900,0
2018-06-30,14.48470000,15.15140000,14.25600000,14.68510000,2160868.78000000,1530403199999,31764133.05872800,50917,1258720.20000000,18534209.18326900,0
2018-07-01,14.73440000,14.74990000,14.09000000,14.37000000,1213411.44000000,1530489599999,17467526.24254100,35997,609793.51000000,8786145.69316000,0
2018-07-02,14.36790000,14.75020000,14.01000000,14.59680000,1895365.94000000,1530575999999,27317959.54243000,53251,944539.05000000,13642202.26651700,0
2018-07-03,14.59680000,14.81000000,14.01460000,14.16390000,1783569.17000000,1530662399999,25735997.90114400,49936,730336.03000000,10546533.70643700,0
2018-07-04,14.17000000,14.24990000,13.85020000,14.02120000,1077456.60000000,1530748799999,15117011.74717700,32797,515246.03000000,7235620.82668800,0
2018-07-05,14.02120000,14.13670000,13.41200000,13.76000000,1167466.75000000,1530835199999,16099476.98922000,54892,513259.63000000,7081088.47837300,0
2018-07-06,13.76000000,13.81430000,13.14020000,13.43660000,957584.87000000,1530921599999,12814481.55408600,45186,499565.93000000,6687726.03257000,0
2018-07-07,13.43660000,14.30060000,13.27990000,14.16000000,2509657.78000000,1531007999999,34914778.13225400,65982,1475763.85000000,20538865.03712500,0
2018-07-08,14.15460000,14.18000000,13.84000000,14.01000000,1788649.64000000,1531094399999,25039486.30426400,41584,1002131.66000000,14041078.95258100,0
2018-07-09,14.00960000,14.04970000,13.45880000,13.53480000,1072007.68000000,1531180799999,14806707.80553800,37879,574096.87000000,7942188.21977400,0
2018-07-10,13.53820000,13.63120000,12.61710000,12.77000000,1268037.08000000,1531267199999,16501887.03469200,51108,551343.48000000,7173352.74037600,0
2018-07-11,12.77000000,12.87000000,12.12010000,12.69700000,1676723.91000000,1531353599999,21058226.24870800,47894,992217.11000000,12480267.09713200,0
2018-07-12,12.68990000,12.77770000,11.80200000,12.13180000,1057562.76000000,1531439999999,12910599.58920800,39423,574571.64000000,7025348.93742800,0
2018-07-13,12.12560000,12.42990000,11.90400000,12.18030000,1104432.47000000,1531526399999,13548020.40346200,42321,646825.75000000,7942525.94973500,0
2018-07-14,12.17720000,12.27990000,11.92100000,12.05950000,700470.95000000,1531612799999,8467281.46710400,29235,416943.79000000,5042148.47067200,0
