,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,avg,upper,lower,side,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,sma
30080,2020-02-25 15:15:00,242593,9435.0,9435.0,9387.78,9387.78,790.257607,194.73703,3,7430511.72280304,9519.641832835987,9646.324057675378,9392.959607996596,1.0,-0.002657023050551488,-0.006138203807846021,-0.0033770047316283858,-0.0097758969501478,-0.014520107914046676,-0.0026605592014412593,0.0029755842000465096,0.12653618165171937,0.27250827679745254,-0.06927556862920921,5.339347506205173e-05,-0.05853699409412539,-0.0034965608268677784,0.002774400346298833,-0.006441275071548347,-0.004802561612654799,-0.006002252505068029,9465.132857142959,9531.130666666662,-1.0
30081,2020-02-25 15:30:00,242596,9379.65,9416.53,9379.65,9411.67,794.4853049999999,256.382469,3,7467104.782330391,9509.826211669078,9639.693936861151,9379.958486477006,1.0,0.002544797598580173,-0.00011898703784962716,-0.0036090266955756123,-0.0008408009265795657,-0.007255977030650285,0.002541565084072772,0.0029926604241711863,0.09620588438635326,0.23238687363536376,-0.05015472999881635,-0.06688052199258591,-0.08788333272283413,-0.0026605592014412593,-0.0034965608268677784,0.002774400346298833,-0.006441275071548347,-0.004802561612654799,9440.592857142958,9523.908666666663,-1.0
30108,2020-02-26 01:35:00,242717,9221.27,9241.19,9221.27,9241.19,1108.1458269999996,514.1666190000001,2,10228754.06919077,9340.379483797647,9459.19889724583,9221.560070349466,1.0,0.0019342212970341333,-0.002786227704513089,-0.007704333969723809,-0.012587883320867577,-0.011108614232209657,0.001932353099638462,0.0038019718537117236,-0.18815533823213978,0.20037418446862187,-0.05729191371536162,-0.01743408896377957,-0.15857108244907034,-0.004722469561549758,-0.004944049209813173,-0.004933616263461005,0.0014970062675931928,-0.0037980218210815764,9304.1500000001,9333.476666666664,-1.0
30112,2020-02-26 02:10:00,242724,9148.92,9148.92,9148.92,9148.92,971.824087,0.0,1,8891140.82603604,9291.827611363737,9442.371547615667,9141.283675111807,1.0,-0.001631406818298431,-0.0063276703616090835,-0.010334838378877609,-0.009984644834702072,-0.008069736050350551,-0.0016327390114980744,0.0038077501924721775,-0.19392056930688067,0.15594827142489937,-0.06540261462673541,0.02406376120492884,-0.08691629530421684,-0.004715035911109666,-0.00404083872509986,0.00035378794190066287,0.001932353099638462,-0.004722469561549758,9213.711428571527,9295.251999999999,-1.0
30144,2020-02-26 12:40:00,242850,9277.61,9277.61,9264.89,9264.89,1326.107117,511.46941799999996,2,12292742.45821909,9196.137630721789,9277.485671679244,9114.789589764334,-1.0,-0.0009025952038442808,0.005734873633041815,0.005279816150421501,0.011668448345331761,0.012406912641304224,-0.0009030027881706815,0.0035265162763256316,-0.05260824773517082,-0.039431912983915664,-0.07085646527099021,-0.04271584857710729,0.04804653827283441,0.0066214946352260995,-0.00045256505852364626,0.006334970185392308,0.0007296806660175292,-0.0028872046924970363,9207.661428571526,9181.025999999996,1.0
30150,2020-02-26 14:00:00,242866,9092.67,9092.67,9068.76,9068.76,1895.1514530000002,0.0,2,17202590.68932888,9185.214918019637,9284.868003631565,9085.56183240771,1.0,-0.004197874380009181,-0.012324219771028266,-0.015941326024043856,-0.01853246753246751,-0.023324940174511588,-0.004206710191082763,0.0035810292803763297,0.09845575073503308,0.03836424868998665,-0.04020052879316218,-0.05915158356689234,-0.022324085762952806,-0.008194082561677973,-0.0036689629304564875,-0.0026365896328197636,-0.00489492668204683,0.0022048253077606716,9194.795714285814,9192.913999999997,1.0
30151,2020-02-26 14:15:00,242869,9114.81,9114.81,9036.47,9036.47,1196.4149269999998,520.3028730000001,3,10865740.65185755,9171.692652745125,9287.225390876958,9056.159914613292,1.0,-0.003560574984893261,-0.007743502518395284,-0.015840913447296545,-0.019445140722269882,-0.022027056277056367,-0.0035669289189286246,0.0035577772105072594,0.12232214515804801,0.09297444817035189,-0.03819946653829103,-0.020247962976710353,0.031629213923037636,-0.004206710191082763,-0.008194082561677973,-0.0036689629304564875,-0.0026365896328197636,-0.00489492668204683,9162.164285714385,9184.734666666664,-1.0
30152,2020-02-26 14:20:00,242870,9008.76,9008.76,9008.76,9008.76,1158.6055039999999,0.0,1,10437598.92021504,9156.88059340466,9288.477069476598,9025.284117332722,1.0,-0.0030664628997826293,-0.006616119513582874,-0.010786220254990875,-0.018858800773694395,-0.02245197581944669,-0.0030711741308149243,0.003568676961884126,0.12664438606295772,0.11027127467502941,-0.016578734400486104,-0.017965027749341323,0.030193829998486986,-0.0035669289189286246,-0.004206710191082763,-0.008194082561677973,-0.0036689629304564875,-0.0026365896328197636,9122.652857142955,9173.169333333331,-1.0
30153,2020-02-26 14:30:00,242872,9024.06,9024.06,9020.2,9020.2,1304.657738,512.9396929999999,2,11770253.67552258,9144.455084913327,9283.706092390534,9005.20407743612,1.0,0.0012698750993478392,-0.0018004818253143373,-0.00535464605965974,-0.009530042308161013,-0.01761287399585265,0.0012690694899077926,0.0035539753666010985,0.13066285917773238,0.08055799099900092,-0.05144722974199675,-0.0656655188351708,0.034899879253100945,-0.0030711741308149243,-0.0035669289189286246,-0.004206710191082763,-0.008194082561677973,-0.0036689629304564875,9091.252857142956,9162.662,-1.0
30162,2020-02-26 16:20:00,242894,8853.99,8853.99,8853.99,8853.99,1586.819894,1586.819894,1,14049687.47327706,9033.338512583618,9229.366448024202,8837.310577143033,1.0,0.0027236878166780887,-0.00724663681152482,-0.015708220635466064,-0.019651286003275148,-0.01689839643444835,0.0027199853004908903,0.0038910688098329335,0.1438771843029068,0.024847793278473064,-0.033809137265280266,0.011907248925982734,-0.018688053504664674,-0.009993006527345472,-0.00855988091306159,-0.004014037861397313,0.0028041365224016346,0.0010487188595167396,8947.46142857153,9009.216666666664,-1.0
30165,2020-02-26 16:45:00,242899,8666.14,8666.14,8666.14,8666.14,3481.1582350000003,0.0,1,30168204.62666289,8966.513037252906,9221.282482671504,8711.743591834307,1.0,-0.012410199839545055,-0.023239667595772562,-0.021216423330046696,-0.018550522427106086,-0.028309312427259092,-0.012487849470019796,0.0042869002514301134,0.23003039084006113,-0.0777208936903068,0.035515497829465045,0.2317640579316779,0.19661185592223956,-0.01102611728200209,0.002069240151813645,0.0027199853004908903,-0.009993006527345472,-0.00855988091306159,8844.478571428672,8939.605999999994,-1.0
30166,2020-02-26 16:50:00,242900,8709.64,8709.64,8709.64,8709.64,1194.740918,1194.740918,1,10405763.28904952,8943.160942957187,9211.284018195798,8675.037867718576,1.0,0.005019535802560204,-0.007452957479396227,-0.018336784136748774,-0.016303384123993903,-0.013624101636024788,0.005006979931625466,0.004370993064862868,0.12940913410273053,-0.14177049633820862,0.05329982035243332,0.2594307859932919,0.10928920415164176,-0.012487849470019796,-0.01102611728200209,0.002069240151813645,0.0027199853004908903,-0.009993006527345472,8803.67142857153,8917.817333333329,-1.0
